time	pagename	username	content	photo	video	link	kdv	kq	cmt	
01/08/25 - 08:50	FP - Chuyện của Hà Nội	Đinh Tiến Tuấn	Hà Nội dừng đào đường, đào hè từ 1/8 đến hết 5/9 để phục vụ Lễ kỷ niệm 80 năm Cách mạng Tháng Tám và Quốc khánh 2/9  Theo Báo Nhân Dân	526356258_4105859749658150_3018033656371814180_n.png		https://nhandan.vn/ha-noi-tam-dung-thi-cong-dao-duong-he-phuc-vu-le-ky-niem-80-nam-cach-mang-thang-tam-va-quoc-khanh-29-post897727.html	Vũ	L	11/8, không phải 1/8	23
01/08/25 - 08:50	FP - Chuyện của Hà Nội	Trần Thanh Hà	Tus: Chào tháng mới, tháng salt air				Vũ	L		
01/08/25 - 08:50	FP - Chuyện của Hà Nội	Thanh Bình	Những điều bố tôi (1966) làm, để cưng chiều cô vợ nhỏ (1973)  Chia sẻ tới từ gái cưng của cô chú @clara.kh213	522675835_771095855401897_8361233105641269957_n.jpg 524287144_1309483337197634_8241724754328294936_n.jpg			Vũ			
01/08/25 - 08:50	FP - Chuyện của Hà Nội	Đinh Tiến Tuấn	"VỤ HAI BÉ TUVONG TẠI HỒ NƯỚC Ở HÀ NỘI: NGƯỜI DÂN CHIA SẺ ""MỌI HÔM GIẾNG ĐÔNG NGƯỜI LẮM, HÔM ĐẤY LẠI VẮNG...""    Theo đó, hai bé trai không may gặp nạn là anh em ruột, một bé vào lớp 1 và lớp 5. Ngày 31/7, gia đình đã tổ chức mai táng cho hai cháu nhỏ tại quê nhà Nam Định (nay là tỉnh Ninh Bình).  Ông Hoàng (người dân địa phương) cho biết, vào khoảng sau 17h00 hằng ngày, khu vực giếng trong thôn thường có rất đông trẻ em ra tắm. Tuy nhiên, điều trùng hợp kỳ lạ là đúng hôm xảy ra sự việc, lại không có cháu nào tắm ở đây.  “Mọi hôm, giếng lúc nào cũng có hơn mười cháu từ 8 đến 14 tuổi tụ tập tắm ở đây, thế mà hôm qua không có cháu nào thì lại xảy ra chuyện đau lòng như vậy”, ông Hoàng thở dài nói.  Theo: Đời sống Pháp Luật"	518810405_9845462215558693_2300117878216940625_n.jpg 521861523_638949199242257_1681751757033265560_n.jpg 523245033_24581385981459500_5983183219828241883_n.jpg			Vũ	L		
01/08/25 - 08:50	FP - Chuyện của Hà Nội	Đinh Tiến Tuấn	Thời tiết cứ như này có phải là dễ thương không    Ảnh: VTV	526716453_1245892546809287_7368580445198853387_n.jpg			Vũ	L		
01/08/25 - 08:50	FP - Chuyện của Hà Nội	Trần Thanh Hà	TỚI RỒI TỚI RỒIIII    The Conjuring: Nghi Lễ Cuối Cùng tung poster chính thức, với sự trở lại của tất cả các ác ma như Valak, Annabelle,..   Mùa cuối của vũ trụ kinh dị đình đám dự kiến khởi chiếu ngày 12/09. Đặt gạch dần thôi	523374831_731998896315278_714523840964535338_n.jpg			Vũ	L		
01/08/25 - 10:38	FP - Chuyện của Hà Nội	Thanh Bình	[Message Retracted]				Vũ			
01/08/25 - 11:33	FP - Chuyện của Hà Nội	Lê Giang Uyên	Lớn lên trong vòng tay của lính, và tôi chọn tiếp bước họ - những bố nuôi của tôi.  Năm tôi lớp 8, bố mẹ tôi chia tay nhau, tôi ở với bà. Vì bà tuổi đã cao, không có khả năng nuôi tôi ăn học, nên tôi được “các bố mang quân hàm xanh” đưa về quân đội nuôi nấng. 5 năm cùng ăn cùng ở với các bố ở Đồn biên phòng, tôi được chăm lo từng li từng tí và được động viên tinh thần, truyền động lực học tập,... Các bố nuôi tôi, chăm tôi như đứa con trong nhà. Cùng ăn, cùng ở, tôi tiếp xúc với môi trường quân đội từ rất sớm, và cũng từ ấy nuôi ước mơ được trở thành một Bộ đội Biên phòng, được mang trên vai quân hàm xanh như những người bố đã nuôi nấng tôi.   Đến ngày hôm nay, tôi đã là học viên của Học viện Biên phòng, hứa sẽ tiếp nối các bố yêu thương nhiều hơn, chia sẻ với những người, những em nhỏ có hoàn cảnh cần sự giúp đỡ.   Vũ cũng muốn gửi tới những người trẻ ngoài kia rằng, mong các bạn sẽ gặp được nhiều hạnh phúc trong cuộc sống!  Nếu gặp chuyện không vui thì đó chỉ là một vết xước nhỏ trong cuộc sống thôi, và chỉ là vấn đề thời gian nên hãy cố lên!!   Thành công sẽ đến với người xứng đáng.  | Nguyễn Vũ - Con nuôi đồn biên phòng Roòn chia sẻ lời chúc tới cộng đồng người trẻ Nghề Mới.  #tiepluatuhao	525659808_24318450514460567_6693549763647519051_n.jpg			Vũ	L		
01/08/25 - 11:52	FP - Chuyện của Hà Nội	Đinh Tiến Tuấn	BUỔI ĐỨNG LỚP DANG DỞ CỦA ÔNG HOÀNG NAM TIẾN, SAU ĐÓ PHẢI ĐẶT STENT TIM KHẨN CẤP...  Trước khi mất đột ngột, ông Hoàng Nam Tiến đã có buổi chia sẻ về AI với các y bác sĩ tại Bệnh viện E (Hà Nội).  Ngày 18/7, Bệnh viện E tổ chức tọa đàm “Ứng dụng AI trong y tế”, rất buồn, đây là buổi đứng lớp cuối cùng của ông Hoàng Nam Tiến, Phó Chủ tịch Trường Đại học FPT, trước khi ông qua đời.    Ông Tiến trình bày về tiềm năng của trí tuệ nhân tạo (AI) trong y tế, lĩnh vực mà FPT đang đầu tư mạnh mẽ với hơn 1.000 kỹ sư công nghệ thông tin.   Các nội dung bao gồm cá thể hóa việc khám chữa bệnh như đưa các thiết bị y tế ứng dụng AI đến nhà người dân thực hiện đo các chỉ số: Nhịp tim, SpO2, ngừng thở khi ngủ. Đồng thời tiến tới, ứng dụng thiết bị y tế ứng dụng AI trong xét nghiệm ngay tại nhà, giúp quá trình khám chữa bệnh thuận tiện hơn.  Dù vậy, ông Tiến khẳng định các xét nghiệm chẩn đoán có sự hỗ trợ của AI trong 10 năm tới chưa thể thay thế được các bác sĩ. Cùng với sự phát triển của khoa học công nghệ ứng dụng AI thì 20 năm tới, bằng kết quả xét nghiệm, chiếu chụp, các bác sĩ có thể chẩn đoán chính xác hơn, nhanh hơn.   Với những y bác sĩ tham gia buổi chia sẻ ngày hôm đó, những kiến thức ông Tiến truyền đạt rất hay và tinh thần cống hiến của ông sẽ tiếp tục là nguồn cảm hứng cho các bác sĩ và chuyên gia công nghệ, đặc biệt trong nỗ lực kết nối y tế với công nghệ hiện đại.  Theo Vietnamnet	524133257_741963385239993_5129842950811867556_n.jpg		https://vietnamnet.vn/buoi-dung-lop-dang-do-cua-ong-hoang-nam-tien-sau-do-phai-dat-stent-tim-khan-cap-2427593.html?fbclid=IwY2xjawL5J0pleHRuA2FlbQIxMABicmlkETFRU2k5a1E2d3JVNm44V1FtAR4I7K84U64STNfX9MS51-rUNl7AaoHjPf-lUwkLo5bs7szQDL1WogthJR1L1Q_aem_MsXxei2eQrMwD1eJXpLCww	Vũ	L		
01/08/25 - 11:52	FP - Chuyện của Hà Nội	Đinh Tiến Tuấn					Vũ			
