01/01/26	FB - Chuyện của Hà Nội	Nguyễn Đức Trọng			"""4302611796636913.mp4"							
01/01/26	FB - Chuyện của Hà Nội	Nguyễn Đức Trọng	Thời khắc bạn nhìn thấy pháo hoa của năm 2026, mọi thứ bắt đầu rực rỡ hơn rồi!  Năm nay, nhất định rực rỡ, nhất định nhiều cố gắng, nhất định nhiều thành công, nhé!  2026, thật đẹp nhé!  | Video: Ngọc Ánh gửi về Chuyện của Hà Nội				Vũ	1				
01/01/26	FB - Chuyện của Hà Nội	Nguyễn Đức Trọng	BKD oiii				Vũ					
01/01/26	FB - Chuyện của Hà Nội	Minh Vũ					Vũ					
01/01/26	FB - Chuyện của Hà Nội	Nguyễn Đức Trọng	Lại cái có logo add vào thui hẹ				Vũ					
01/01/26	FB - Chuyện của Hà Nội	Nguyễn Đức Trọng			"""732652809458481.mp4"							
01/01/26	FB - Chuyện của Hà Nội	Le Thu Huong	Cậu quên đóng logo rui @Giang Uyên				Vũ	1				
01/01/26	FB - Chuyện của Hà Nội	Tưởng Quỳnh Nga	- Alo, bé thay đồ anh chở đi chơi - Thôi em lười lắm  - Dậy make up xinh đẹp đi First date  - Giờ còn First date gìiiii - First date in year. Hẹn hò đầu năm rùi lấy vía để năm nay thương nhauu nhìuuu hơn  Phấn đấu nhé, để người có người thương thì vẫn thương nhau, người chưa có thì năm nay sẽ sớm tìm thấy nhau giữa biển người. Để được tay trong tay ngắm nhìn một năm, được cùng nhau phấn đấu và nỗ lực trưởng thành.  | Na	"""2099474204123404.jpg"								
01/01/26	FB - Chuyện của Hà Nội	Minh Vũ					Vũ					
01/01/26	FB - Chuyện của Hà Nội	Minh Vũ					Vũ					
01/01/26	FB - Chuyện của Hà Nội	Tuan Dinh Zin	Chính thức từ 1/1/2026: Lương nhà giáo được xếp cao nhất trong thang bậc lương hành chính sự nghiệp			https://tuoitre.vn/tin-tuc-sang-1-1-2026-luong-nha-giao-duoc-xep-cao-nhat-trong-thang-bac-luong-hanh-chinh-su-nghiep-20251231225359723.htm	Vũ	1				
01/01/26	FB - Chuyện của Hà Nội	Tuan Dinh Zin		"""1195641209367747.jpg"								
01/01/26	FB - Chuyện của Hà Nội	Le Thu Huong	Xếp ở nhóm cao nhất a ah, a sửa lại title chút				Vũ					
01/01/26	FB - Chuyện của Hà Nội	Le Thu Huong	Tuoitre giật ghê quá				Vũ					
01/01/26	FB - Chuyện của Hà Nội	Minh Vũ					Vũ					
01/01/26	FB - Chuyện của Hà Nội	Giang Uyên	Từ 1/1/2026, mua bán dữ liệu cá nhân có thể bị phạt tới 3 tỉ đồng				Vũ	1				
01/01/26	FB - Chuyện của Hà Nội	Giang Uyên				https://tuoitre.vn/tu-ngay-1-1-2026-ban-du-lieu-ca-nhan-se-bi-phat-gap-10-lan-so-tien-thu-duoc-20251231182327257.htm	Vũ					
01/01/26	FB - Chuyện của Hà Nội	Giang Uyên		"""1369913517559144.jpg"								
01/01/26	FB - Chuyện của Hà Nội	Giang Uyên	bkd ơi				Vũ					
01/01/26	FB - Chuyện của Hà Nội	Le Thu Huong	Hy vọng không còn bị spam				Vũ	1				
01/01/26	FB - Chuyện của Hà Nội	Le Thu Huong	Thêm vào cap nhé e				Vũ	1				
01/01/26	FB - Chuyện của Hà Nội	Dương Nguyễn					Vũ					
01/01/26	FB - Chuyện của Hà Nội	Giang Uyên	Hy vọng không còn bị spam : Từ 1/1/2026, mua bán dữ liệu cá nhân có thể bị phạt tới 3 tỉ đồng				Vũ	1				
01/01/26	FB - Chuyện của Hà Nội	Giang Uyên	Dạ em lại ạ				Vũ					
01/01/26	FB - Chuyện của Hà Nội	Minh Vũ					Vũ					
